experiment,model,size,k_folds,model_type,alpha,linear_r2_mean,linear_r2_std,linear_adj_r2_mean,linear_adj_r2_std,pca_r2_mean,pca_r2_std,pca_adj_r2_mean,pca_adj_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_proportion_significant_mean,linear_proportion_significant_std,pca_proportion_significant_mean,pca_proportion_significant_std,linear_f_pvalue_mean,linear_f_pvalue_std,pca_f_pvalue_mean,pca_f_pvalue_std,linear_aic_mean,linear_bic_mean,pca_aic_mean,pca_bic_mean
positive_decimals_statsmodels,text-embedding-3-small,5,5,Statsmodels_OLS,0.05,0.9739506363694199,0.004503675390111786,0.9739506363694199,0.004503675390111786,0.7245936228978092,0.031854468131070436,0.7217833537437052,0.03217951372424457,0.0501744171703716,0.001040079065274623,0.6,0.48989794855663565,1.0,0.0,2.4874898745752626e-13,6.597099489565633e-15,6.507137087587493e-99,1.301427416408488e-98,-24552.388231306533,-22958.197291191616,-361.7406421482895,-353.75771305407346
positive_decimals_statsmodels,text-embedding-3-small,6,5,Statsmodels_OLS,0.05,0.9711004257983598,0.007278166845771859,0.9711004257983598,0.007278166845771859,0.7853683372850699,0.03580800241910333,0.7831782182777747,0.036173390198890085,0.04854478977608938,0.0012810341803314443,0.0,0.0,1.0,0.0,,,1.118178799188138e-115,2.236357598376274e-115,-24612.003274526633,-23015.41745568344,-491.9373284688525,-483.9543993746365
positive_decimals_statsmodels,text-embedding-3-small,7,5,Statsmodels_OLS,0.05,0.9675479296021452,0.004283726007898287,0.9675479296021452,0.004283726007898287,0.7534822165392517,0.06203597553832985,0.7509667289529176,0.06266899569688424,0.04586777633194778,0.0011413856125726102,0.0,0.0,1.0,0.0,,,2.348714487361717e-112,3.234096723316331e-112,-24687.266695792736,-23090.680876949544,-439.9322131186162,-431.9492840244002
positive_decimals_statsmodels,text-embedding-3-small,8,5,Statsmodels_OLS,0.05,0.9726849499582002,0.003873715965125736,0.9726849499582002,0.003873715965125736,0.727707342406042,0.011234652521053042,0.7249288458999811,0.011349291832492371,0.04274186268882002,0.0005800516255987679,0.0,0.0,1.0,0.0,,,5.3770584968142955e-107,1.075411663967204e-106,-24673.399486589296,-23076.813667746108,-394.5209365412549,-386.5380074470389
positive_decimals_statsmodels,text-embedding-3-small,9,5,Statsmodels_OLS,0.05,0.959221837075293,0.008300684374186072,0.959221837075293,0.008300684374186072,0.639599520790408,0.04152372058467404,0.635921964880106,0.041947432019211514,0.04595922853409036,0.0010346844107697029,0.0,0.0,1.0,0.0,,,3.902163723757844e-88,7.759229700883655e-88,-24611.923069922643,-23015.337251079454,-302.7543590586779,-294.7714299644619
positive_decimals_statsmodels,text-embedding-3-small,10,5,Statsmodels_OLS,0.05,0.9666224408257943,0.006523473433979346,0.9666224408257943,0.006523473433979346,0.8199508827012206,0.025962982495665372,0.8181136468104168,0.026227910888478322,0.0449139204134051,0.0005391756302701936,0.0,0.0,1.0,0.0,,,1.7344801691516787e-151,3.334799734175255e-151,-24681.57081283069,-23084.98499398749,-555.7445799154248,-547.7616508212088
positive_decimals_statsmodels,text-embedding-3-small,11,5,Statsmodels_OLS,0.05,0.9631361361289988,0.005941786242540616,0.9631361361289988,0.005941786242540616,0.6927711340490375,0.04360594236774714,0.6896361456209665,0.0440509009633364,0.04139683486284693,0.0007590241593292283,0.0,0.0,1.0,0.0,,,1.1307751411110847e-90,2.2615502822221606e-90,-24660.358186162754,-23063.772367319558,-345.7847348602555,-337.8018057660395
positive_decimals_statsmodels,text-embedding-3-small,12,5,Statsmodels_OLS,0.05,0.9617630928045072,0.004917610073295082,0.9617630928045072,0.004917610073295082,0.6448139666284917,0.050522602406972886,0.6411896193491907,0.0510381391662277,0.0409008957413003,0.00109233061118767,0.0,0.0,1.0,0.0,,,1.623634676184171e-86,3.241599787684475e-86,-24696.639586727768,-23100.053767884572,-290.0793444976754,-282.0964154034594
positive_decimals_statsmodels,text-embedding-3-small,13,5,Statsmodels_OLS,0.05,0.9713198401128057,0.0032220828231241806,0.9713198401128057,0.0032220828231241806,0.788500501494061,0.021042650094282897,0.7863423433460411,0.021257371013612334,0.04434874776247973,0.0005627214150643721,0.0,0.0,1.0,0.0,,,9.848785124947339e-131,1.667098161138469e-130,-24666.515702231816,-23069.929883388624,-494.31632984923647,-486.3334007550205
positive_decimals_statsmodels,text-embedding-3-small,14,5,Statsmodels_OLS,0.05,0.9590872556469119,0.0075145714258082795,0.9590872556469119,0.0075145714258082795,0.6861368383644468,0.061726761188976007,0.682934153041635,0.062356626099067634,0.0413997093692544,0.0006339288100973211,0.0,0.0,1.0,0.0,,,2.946938065735661e-75,5.6453866060132915e-75,-24640.658822874702,-23044.07300403151,-339.4985030566475,-331.5155739624315
