experiment,model,size,linear_r2,pca_r2,pca_var_comp_1,pca_var_comp_2,pca_var_comp_3,pca_var_comp_4,pca_var_comp_5,pca_cumulative_var_5
positive_decimals,gemini-embedding-001,12,0.9704464215261895,-549.8344174568791,0.028649777922573328,0.027304862058177094,0.025333987579970296,0.022699772452161482,0.02204844471737579,0.126036844730258
positive_decimals,gemini-embedding-001,13,0.9622345014195268,-719.4683308461505,0.027498165656905642,0.02672906724445444,0.02626830217003894,0.023486423011243672,0.022171899868548638,0.12615385795119136
positive_decimals,gemini-embedding-001,14,0.965009199541367,-891.7225820128331,0.027972940680143974,0.02616251730207513,0.024332032760728792,0.021880027829573094,0.02100995166833209,0.12135747024085308
positive_decimals,gemini-embedding-001,15,0.9816855189487173,-912.8841810958154,0.02842837812061107,0.025764474824276372,0.024296095832799812,0.02345990167119266,0.02231791056671906,0.12426676101559897
positive_decimals,gemini-embedding-001,16,0.9578779246072487,-871.6656571395114,0.030716834381801703,0.026434885167008707,0.023336574071462092,0.022309107921276113,0.021445532358557548,0.12424293390010617
positive_decimals,gemini-embedding-001,17,0.978457749312133,-1019.9023835675857,0.027621600282395978,0.024731034844586358,0.023700836689829377,0.022452186514334855,0.022316883431389503,0.12082254176253607
positive_decimals,gemini-embedding-001,18,0.9769745235615629,-747.5019946519151,0.026801328738198533,0.02461569771027264,0.024151673886954515,0.02242603614690281,0.021441247739841168,0.11943598422216967
positive_decimals,gemini-embedding-001,19,0.9589555410448782,-564.2967089094068,0.026908072107324772,0.02644286407070379,0.023190014898135502,0.020942147659529915,0.020847918945872703,0.11833101768156669
positive_decimals,voyage-code-3,1,0.9999997823084199,-3159.881777316581,0.25523388199856334,0.19977891010081822,0.14668957714544714,0.10341740679359059,0.08248606206611425,0.7876058381045334
positive_decimals,voyage-code-3,2,0.9999638580319339,-2567.042800952393,0.21563600392742138,0.09961248066837412,0.0663165341666703,0.06184030559796472,0.05231991944923081,0.4957252438096614
positive_decimals,voyage-code-3,3,0.9967454288110945,-2610.135322769779,0.20720009484483334,0.08797318065354962,0.056264918842741644,0.04778352763646395,0.041259581837685674,0.4404813038152742
positive_decimals,voyage-code-3,4,0.9958012930809103,-2987.130244877398,0.20723914806117927,0.07863537875927992,0.052465579234514545,0.04782099535902387,0.03587136621130391,0.42203246762530156
positive_decimals,voyage-code-3,5,0.9951471604623914,-2528.7089773588095,0.22871246293807132,0.08333789595777677,0.04673705267632849,0.043639571652084624,0.039495128743907024,0.4419221119681682
positive_decimals,voyage-code-3,6,0.9960603413213286,-2595.4797408591135,0.22165068664324722,0.08117137132948125,0.049978867245923875,0.044941387022673036,0.03555218368452215,0.43329449592584757
positive_decimals,voyage-code-3,7,0.9961181472618695,-2698.971148111269,0.22014743002938617,0.07926242223943593,0.04496042754120431,0.03967295462706838,0.036307720030390386,0.4203509544674852
positive_decimals,voyage-code-3,8,0.9943858747835207,-2845.3672637942454,0.20815825758326137,0.08073830670822997,0.04522923513799547,0.041243515817712566,0.0370172909454342,0.4123866061926336
