experiment,model,expected_similarity,scale_factor,decimal_size,magnitude_range,mean_similarity,std_similarity,accuracy_within_tolerance,mean_absolute_error,root_mean_square_error,correlation_with_expected
negative_relationships,text-embedding-3-small,-1.0,,10,"(1e-05, 0.99999)",0.8602947944396866,0.010686701676128516,0.0,1.8602947944396866,1.8603254897496058,
negative_relationships,text-embedding-3-small,-1.0,,10,"(1e-05, 0.49999)",0.8563641765819467,0.009801934832928873,0.0,1.8563641765819465,1.8563900543859952,
negative_relationships,text-embedding-3-small,-1.0,,11,"(1e-05, 0.99999)",0.865476267591642,0.009757583253178385,0.0,1.865476267591642,1.8655017864849623,
negative_relationships,text-embedding-3-small,-1.0,,11,"(1e-05, 0.49999)",0.862407844297249,0.009055734981566829,0.0,1.8624078442972491,1.862429860380246,
negative_relationships,text-embedding-3-small,-1.0,,12,"(1e-05, 0.99999)",0.8522713538276953,0.009904106233994034,0.0,1.8522713538276954,1.8522978322966794,
negative_relationships,text-embedding-3-small,-1.0,,12,"(1e-05, 0.49999)",0.8493961029514444,0.009563673704246921,0.0,1.8493961029514443,1.8494208308188567,
negative_relationships,text-embedding-3-small,-1.0,,13,"(1e-05, 0.99999)",0.8654497204257612,0.009884091023066586,0.0,1.8654497204257614,1.8654759056851693,
negative_relationships,text-embedding-3-small,-1.0,,13,"(1e-05, 0.49999)",0.8624854914066459,0.0087633946062863,0.0,1.862485491406646,1.862506108120261,
negative_relationships,text-embedding-3-small,-1.0,,14,"(1e-05, 0.99999)",0.8689621817337682,0.009005461690032138,0.0,1.8689621817337678,1.8689838776969951,
negative_relationships,text-embedding-3-small,-1.0,,14,"(1e-05, 0.49999)",0.8665676983390299,0.008264889432605648,0.0,1.86656769833903,1.866585996111617,
negative_relationships,text-embedding-3-large,-1.0,,1,"(1e-05, 0.99999)",0.7685843852590918,0.026770142000515026,0.0,1.7685843852590917,1.76878697651385,
negative_relationships,text-embedding-3-large,-1.0,,1,"(1e-05, 0.49999)",0.7695435941517649,0.024722114686281476,0.0,1.7695435941517648,1.7697162808083413,
negative_relationships,text-embedding-3-large,-1.0,,2,"(1e-05, 0.99999)",0.7858255300017954,0.0234996154308014,0.0,1.7858255300017953,1.7859801386162137,
negative_relationships,text-embedding-3-large,-1.0,,2,"(1e-05, 0.49999)",0.7842089581183465,0.02805714440381668,0.0,1.7842089581183465,1.7844295473853407,
negative_relationships,text-embedding-3-large,-1.0,,3,"(1e-05, 0.99999)",0.8001351892939444,0.020179546629430542,0.0,1.8001351892939446,1.8002482922742946,
negative_relationships,text-embedding-3-large,-1.0,,3,"(1e-05, 0.49999)",0.8011032096293966,0.01872985704227447,0.0,1.8011032096293966,1.8012005938490412,
negative_relationships,text-embedding-3-large,-1.0,,4,"(1e-05, 0.99999)",0.8158457435445962,0.018909822552810675,0.0,1.8158457435445963,1.8159442022644876,
negative_relationships,text-embedding-3-large,-1.0,,4,"(1e-05, 0.49999)",0.8084135355665787,0.02353352838260771,0.0,1.8084135355665787,1.8085666541707963,
negative_relationships,text-embedding-3-large,-1.0,,5,"(1e-05, 0.99999)",0.8202424825163681,0.020381982803101578,0.0,1.820242482516368,1.820356591544727,
negative_relationships,text-embedding-3-large,-1.0,,5,"(1e-05, 0.49999)",0.8224032618688258,0.017260521319586494,0.0,1.822403261868826,1.8224849997918666,
negative_relationships,text-embedding-3-large,-1.0,,6,"(1e-05, 0.99999)",0.836693380781896,0.014329927776817325,0.0,1.836693380781896,1.8367492811590045,
negative_relationships,text-embedding-3-large,-1.0,,6,"(1e-05, 0.49999)",0.8355467988346809,0.016439303546521178,0.0,1.8355467988346812,1.8356204132154719,
negative_relationships,text-embedding-3-large,-1.0,,7,"(1e-05, 0.99999)",0.8268460401467811,0.013309516051993237,0.0,1.8268460401467812,1.8268945228495028,
negative_relationships,text-embedding-3-large,-1.0,,7,"(1e-05, 0.49999)",0.8260132518062119,0.01798125677566306,0.0,1.826013251806212,1.8261017828607278,
negative_relationships,text-embedding-3-large,-1.0,,8,"(1e-05, 0.99999)",0.8323894241806026,0.012611225893638823,0.0,1.8323894241806027,1.832432821379125,
negative_relationships,text-embedding-3-large,-1.0,,8,"(1e-05, 0.49999)",0.8323015260004452,0.012230737906488034,0.0,1.8323015260004454,1.8323423460514405,
negative_relationships,text-embedding-3-large,-1.0,,9,"(1e-05, 0.99999)",0.8408486974975813,0.015493674896163843,0.0,1.8408486974975813,1.8409138983234197,
negative_relationships,text-embedding-3-large,-1.0,,9,"(1e-05, 0.49999)",0.8403612728104044,0.013101118359110776,0.0,1.8403612728104044,1.8404079041784707,
negative_relationships,text-embedding-3-large,-1.0,,10,"(1e-05, 0.99999)",0.8293491040325696,0.01728882442632263,0.0,1.8293491040325696,1.8294307988756529,
negative_relationships,text-embedding-3-large,-1.0,,10,"(1e-05, 0.49999)",0.8319577478097141,0.01411444314488332,0.0,1.831957747809714,1.8320121198467356,
negative_relationships,text-embedding-3-large,-1.0,,11,"(1e-05, 0.99999)",0.8354441084317051,0.015046503294927063,0.0,1.8354441084317052,1.8355057810963336,
negative_relationships,text-embedding-3-large,-1.0,,11,"(1e-05, 0.49999)",0.8338091864034382,0.01194145114591335,0.0,1.8338091864034383,1.8338480663329528,
negative_relationships,text-embedding-3-large,-1.0,,12,"(1e-05, 0.99999)",0.8453260846636995,0.01265075464370659,0.0,1.8453260846636996,1.8453694481954865,
negative_relationships,text-embedding-3-large,-1.0,,12,"(1e-05, 0.49999)",0.8439187860465307,0.011113016990339121,0.0,1.8439187860465305,1.8439522739707606,
negative_relationships,text-embedding-3-large,-1.0,,13,"(1e-05, 0.99999)",0.8323864584109406,0.013589917724232578,0.0,1.8323864584109406,1.8324368526177215,
negative_relationships,text-embedding-3-large,-1.0,,13,"(1e-05, 0.49999)",0.8334734658273995,0.013566442452608211,0.0,1.8334734658273995,1.8335236563115176,
negative_relationships,text-embedding-3-large,-1.0,,14,"(1e-05, 0.99999)",0.8394855302510564,0.012686785509049725,0.0,1.8394855302510562,1.8395292796064875,
negative_relationships,text-embedding-3-large,-1.0,,14,"(1e-05, 0.49999)",0.8381472324657265,0.015222083430231924,0.0,1.8381472324657266,1.838210260020699,
negative_relationships,gemini-embedding-001,-1.0,,1,"(1e-05, 0.99999)",0.9691992181013527,0.008027035474843293,0.0,1.9691992181013527,1.969215578312718,
negative_relationships,gemini-embedding-001,-1.0,,1,"(1e-05, 0.49999)",0.9699481912954256,0.0034025524642819762,0.0,1.9699481912954255,1.969951129787587,
negative_relationships,gemini-embedding-001,-1.0,,2,"(1e-05, 0.99999)",0.9797482106903781,0.006699809276739568,0.0,1.9797482106903783,1.9797595473127787,
negative_relationships,gemini-embedding-001,-1.0,,2,"(1e-05, 0.49999)",0.979670063704375,0.006396236515813531,0.0,1.9796700637043747,1.9796803966723644,
negative_relationships,gemini-embedding-001,-1.0,,3,"(1e-05, 0.99999)",0.9805950339779652,0.0063047086848168725,0.0,1.980595033977965,1.9806050686519452,
negative_relationships,gemini-embedding-001,-1.0,,3,"(1e-05, 0.49999)",0.9811959048044143,0.0063788517882961,0.0,1.981195904804414,1.9812061737648403,
negative_relationships,gemini-embedding-001,-1.0,,4,"(1e-05, 0.99999)",0.9826798633041149,0.0049670170035543346,0.0,1.982679863304115,1.9826860849891335,
negative_relationships,gemini-embedding-001,-1.0,,4,"(1e-05, 0.49999)",0.9844984291715808,0.0050397504530372145,0.0,1.984498429171581,1.9845048285325741,
negative_relationships,gemini-embedding-001,-1.0,,5,"(1e-05, 0.99999)",0.9836564036326504,0.004656038816928943,0.0,1.9836564036326503,1.983661867952874,
negative_relationships,gemini-embedding-001,-1.0,,5,"(1e-05, 0.49999)",0.986242182037985,0.003477559165168504,0.0,1.9862421820379852,1.9862452263315231,
negative_relationships,gemini-embedding-001,-1.0,,6,"(1e-05, 0.99999)",0.9836988279222596,0.004497314129281447,0.0,1.9836988279222596,1.9837039259260754,
negative_relationships,gemini-embedding-001,-1.0,,6,"(1e-05, 0.49999)",0.986197579616238,0.0034406921122225502,0.0,1.9861975796162383,1.9862005597712467,
negative_relationships,gemini-embedding-001,-1.0,,7,"(1e-05, 0.99999)",0.98439684058606,0.004450276525751703,0.0,1.98439684058606,1.9844018307512952,
negative_relationships,gemini-embedding-001,-1.0,,7,"(1e-05, 0.49999)",0.9863005170723449,0.003292134327772239,0.0,1.986300517072345,1.9863032452952134,
negative_relationships,gemini-embedding-001,-1.0,,8,"(1e-05, 0.99999)",0.9866028614607854,0.003789889872324056,0.0,1.9866028614607854,1.9866064764893485,
negative_relationships,gemini-embedding-001,-1.0,,8,"(1e-05, 0.49999)",0.9883157865655378,0.0023818593300412847,0.0,1.988315786565538,1.9883172132131235,
negative_relationships,gemini-embedding-001,-1.0,,9,"(1e-05, 0.99999)",0.986041569435101,0.003970288842838504,0.0,1.9860415694351008,1.9860455379264934,
negative_relationships,gemini-embedding-001,-1.0,,9,"(1e-05, 0.49999)",0.9880313824165742,0.0028438326795520797,0.0,1.988031382416574,1.9880334164338045,
negative_relationships,gemini-embedding-001,-1.0,,10,"(1e-05, 0.99999)",0.9860932348083867,0.0036445871757931187,0.0,1.986093234808387,1.9860965788116458,
