experiment,model,size,k_folds,model_type,linear_r2_mean,linear_r2_std,pca_r2_mean,pca_r2_std,pca_explained_var_mean,pca_explained_var_std,linear_r2_fold_1,linear_r2_fold_2,linear_r2_fold_3,linear_r2_fold_4,linear_r2_fold_5,pca_r2_fold_1,pca_r2_fold_2,pca_r2_fold_3,pca_r2_fold_4,pca_r2_fold_5,pca_explained_var_fold_1,pca_explained_var_fold_2,pca_explained_var_fold_3,pca_explained_var_fold_4,pca_explained_var_fold_5
positive_decimals_kfold,text-embedding-3-large,17,5,LinearRegression,0.9637204536924499,0.005157718587434179,0.7296012494752587,0.04195299733418394,0.03328077084452403,0.0011802226121906093,0.9665060527488304,0.9697724606769721,0.9566932057997235,0.9671513467599457,0.9584792024767774,0.7438350099546982,0.7199665454250912,0.712927702422943,0.7994896444783919,0.6717873450951695,0.03267573265331776,0.034001539060078384,0.03323862864318916,0.03150119675621982,0.034986757109815005
positive_decimals_kfold,text-embedding-3-large,18,5,LinearRegression,0.9589518132650874,0.005482893230385028,0.6850253173464297,0.055766836355089736,0.030310736975109203,0.0008296857828001956,0.9629032875718172,0.9497914494096819,0.9629531560370834,0.9636813803425797,0.9554297929642742,0.7482999447842511,0.5955367262423255,0.6468618841311087,0.7150760821261826,0.7193519494482806,0.029432070472694583,0.03159195216862106,0.03081858355105249,0.02943363450603329,0.030277444177144605
positive_decimals_kfold,text-embedding-3-large,19,5,LinearRegression,0.9695144040042643,0.00330323134594481,0.7681023154891455,0.03561758567075177,0.03287586741085421,0.001010480090496288,0.9696258505519744,0.9746522170771211,0.9709291330538102,0.9647786090533403,0.9675862102850751,0.7802848183939819,0.7473496413192751,0.8324153510342218,0.7341409251084758,0.7463208415897726,0.03235722282691407,0.03220627124990679,0.031655927126000336,0.034073768877801204,0.03408614697364863
positive_decimals_kfold,text-embedding-ada-002,1,5,LinearRegression,0.9999999643844149,4.9137489554273306e-08,0.7770386362131623,0.03436365068652496,0.16495395721021403,0.0020559531442660927,0.9999998684901942,1.0,0.9999999724916063,0.9999999809402741,1.0,0.7819562201824533,0.7317575866208981,0.7558082828282291,0.8350579554507973,0.7806131359834334,0.1622624510332721,0.16715170645972088,0.16657897629634738,0.1626883488770884,0.1660883033846413
positive_decimals_kfold,text-embedding-ada-002,2,5,LinearRegression,0.9998937633270379,0.00010485271554610162,0.8170953355603915,0.015559861004676837,0.1053337845017136,0.0014932136589434926,0.9998496595057016,0.9999370509359361,0.9997100788088112,1.0,0.999972027384741,0.7884483119626086,0.8249714106501752,0.8130524376200301,0.8308538025417035,0.8281507150274401,0.10372484646534617,0.10653511161872288,0.10349607370239321,0.10567585234378267,0.10723703837832302
positive_decimals_kfold,text-embedding-ada-002,3,5,LinearRegression,0.9896944084844963,0.002028515163037371,0.6872840694210478,0.08006633338212674,0.06215842901604386,0.0010560159946701986,0.9908753817877132,0.9858281213714032,0.9912854479176907,0.9909836272606263,0.9894994640850481,0.7470930369616497,0.5394055107621518,0.7684196101102219,0.6900834471303372,0.6914187421408787,0.06103573289599379,0.06385838405652869,0.06138414085703378,0.06289201165284665,0.0616218756178164
positive_decimals_kfold,text-embedding-ada-002,4,5,LinearRegression,0.9772084993547001,0.0028867413527228483,0.2502161448058021,0.030046022417981443,0.05041101814347595,0.0007352943898679076,0.9826175309937769,0.9757715273479773,0.9740702993062716,0.976519626627406,0.9770635124980684,0.2582666458841699,0.20313130980741623,0.24661395699136668,0.245940335935935,0.2971284754101229,0.04987504202893139,0.05026099076712004,0.0494186618640213,0.05123807686758585,0.05126231918972117
positive_decimals_kfold,text-embedding-ada-002,5,5,LinearRegression,0.9729158616066528,0.0042280592751066355,0.4911126204279596,0.04000807262272799,0.04517368488533454,0.0011611068888569636,0.967922487940601,0.9757703858905555,0.9708855679057837,0.9703374208611447,0.9796634454351785,0.42843339711242523,0.4828194174053859,0.5192571679471768,0.47864044198664757,0.5464126776881626,0.046503352183291546,0.04505212218236927,0.043097765043945614,0.04523877101788011,0.045976413999186165
positive_decimals_kfold,text-embedding-ada-002,6,5,LinearRegression,0.9512489018244727,0.013136069942255399,0.4804904162446106,0.04114194698845466,0.04450316297190199,0.0006648129839792508,0.9513288944569295,0.9612176335962184,0.9580539375741263,0.9597788275856874,0.9258652159094017,0.47622200775301493,0.5602437548782517,0.46222436087513397,0.444336574247608,0.45942538346904416,0.0452858017436401,0.04333410098703161,0.04496764782758204,0.04438712839855906,0.044541135902697156
positive_decimals_kfold,text-embedding-ada-002,7,5,LinearRegression,0.9743820029243719,0.003175153838820938,0.7582837824874045,0.05429902501663957,0.04965564377849006,0.0009852907430833735,0.9791354860615212,0.9738484096941026,0.9699222164774784,0.9764524915686721,0.972551410820086,0.6515730106146433,0.8013579095565688,0.7892454737936307,0.7727640152069496,0.7764785032652299,0.050124844632449525,0.04795133748320821,0.04916819806018792,0.050580106680932595,0.05045373203567202
